,Unnamed: 0,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId,accident_year,globalid,bikelane_exist,install_yr_accid,barrier,biap,buffered,cnn_accid,contraflow,date_creat,time_creat,created_us,dir,direct,double,facility_t,from_st,fy,greenwave,install_mo,install_yr_bikelane,date_last_,time_last_,last_edite,length,notes,number,objectid,qtr,raised,shape_len,sharrow,sm_sweeper,street_accid,streetname_accid,surface_tr,symbology,to_st,update_mo,update_yr,censusbloc,geometry_accid,_merge,bikelane_installdate,isWeekday,cnn_of_road,road_length,jurisdiction,zip_code,f_node_cnn,date_dropped,gds_chg_id_add,classcode,t_st,accepted,street_gc,cnn_road,layer,nhood,st_type,streetname_road,rt_fadd,f_st,streetname_gc,lf_fadd,date_altered,t_node_cnn,date_added,street_road,gds_chg_id_altered,lf_toadd,gds_chg_id_dropped,oneway,rt_toadd,active,geometry_road,bikelane_length_haver,hour
0,0,150117967,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, INJURY",Saturday,2015-02-07 00:00:00,2019-08-24 18:34:00,SOUTHERN,"ARREST, BOOKED",6TH ST / MISSION ST,-122.40871060666299,37.78097067220529,"(37.7809706722053, -122.408710606663)",15011796768069,2015,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
1,1,150124871,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,2015-02-10 00:00:00,2019-08-24 09:26:00,RICHMOND,NONE,CALIFORNIA ST / WALNUT ST,-122.448470391223,37.7870474882864,"(37.7870474882864, -122.448470391223)",15012487168050,2015,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2,2,150133521,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, INJURY",Thursday,2015-02-12 00:00:00,2019-08-24 23:50:00,NORTHERN,"ARREST, BOOKED",FILLMORE ST / HAYES ST,-122.43120128900101,37.7758330026111,"(37.7758330026111, -122.431201289001)",15013352168069,2015,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
3,3,141066309,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,2014-12-19 00:00:00,2019-08-24 17:16:00,PARK,UNFOUNDED,MASONIC AV / GEARY BL,-122.448043124454,37.7823710354886,"(37.7823710354886, -122.448043124454)",14106630968050,2014,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
4,4,150136553,NON-CRIMINAL,TRAFFIC ACCIDENT,Saturday,2015-02-14 00:00:00,2019-08-24 02:45:00,NORTHERN,"ARREST, BOOKED",POST ST / FRANKLIN ST,-122.423217673913,37.7864017954155,"(37.7864017954155, -122.423217673913)",15013655368050,2015,{5D7BA44D-011E-4262-93FF-3CF7D400B125},True,0,,NO,NO,10642000.0,NO,,,,,2W,1.0,CLASS III,FRANKLIN ST,0.0,NO,1,2010,2017-10-18,15:54:07.000,JENWONG,0.09,,16,2051.0,0.0,NO,481.151904928032,1.0,NO,,POST ST,,BIKE ROUTE,GOUGH ST,,0.0,60750151002.0,"LINESTRING (-122.423213873552 37.78640231969, -122.42485842243 37.786196428029)",both,2010-01-01 00:00:00,Weekend,6576101,0.12437522986222042,DPW,94103,,2006-11-16 00:00:00,,,15TH ST,True,,6576101,STREETS,Mission Dolores,,GUERRERO ST,,14TH ST,,,,,1998-07-01 00:00:00,GUERRERO,,,2006-069,,,False,"LINESTRING (-122.4244116899 37.768006425, -122.4243500948 37.7678727623, -122.4242231282 37.7665475866, -122.4242581134 37.7664057673)",0.11389009560159888,2
5,5,150139137,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",Saturday,2015-02-14 00:00:00,2019-08-24 23:51:00,CENTRAL,"ARREST, BOOKED",SANSOME ST / CALIFORNIA ST,-122.40112908539301,37.79305866351429,"(37.7930586635143, -122.401129085393)",15013913768060,2015,{5A0A1C3B-055F-4EAA-B5E0-E206121FD482},True,0,,NO,NO,11544000.0,NO,,,,,2W,0.0,CLASS III,PINE ST,0.0,NO,1,2009,2017-10-18,15:53:45.000,JENWONG,0.07,,11,2721.0,0.0,NO,351.104005182517,1.0,NO,,SANSOME ST,,BIKE ROUTE,CALIFORNIA ST,,0.0,60750117001.0,"LINESTRING (-122.400933081716 37.792108403686, -122.401126342203 37.793060300559)",both,2009-01-01 00:00:00,Weekend,272000,0.32980376221148977,DPW,94107,,2006-03-15 00:00:00,,,03RD ST,False,,272000,STREETS,Mission Bay,,04TH ST,,CHANNEL ST,,,,,1998-07-01 00:00:00,04TH,,,2006-063,,,False,"LINESTRING (-122.3919115112 37.7746803626, -122.3897167403 37.7729307949)",0.03768937522548203,23
6,6,150175363,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, INJURY",Thursday,2015-02-26 00:00:00,2019-08-24 01:06:00,RICHMOND,"ARREST, BOOKED",0 Block of MASONIC AV,-122.447700458608,37.78174295946121,"(37.7817429594612, -122.447700458608)",15017536368069,2015,{D023EE1E-662C-447D-8A4B-621DC04C2020},True,0,,NO,NO,8843201.0,NO,,,,N,2W,0.0,CLASS IV,GEARY BLVD,0.0,NO,1,0,2018-08-13,23:55:02.000,JENWONG,0.1,,55,190.0,0.0,YES,507.323696360707,1.0,NO,,MASONIC AVE,GREEN PAINT; GREEN-BACKED SHARROWS,BIKE ROUTE,ANZA ST,8.0,2018.0,60750157003.0,"LINESTRING (-122.447301513048 37.782391641761, -122.447450898883 37.78219521853, -122.447637300542 37.781719177643, -122.447655107974 37.781537309078, -122.447576362098 37.78117577787, -122.447517982179 37.781069510604)",both,2000-01-01 00:00:00,Weekday,6576101,0.12437522986222042,DPW,94103,,2006-11-16 00:00:00,,,15TH ST,True,,6576101,STREETS,Mission Dolores,,GUERRERO ST,,14TH ST,,,,,1998-07-01 00:00:00,GUERRERO,,,2006-069,,,False,"LINESTRING (-122.4244116899 37.768006425, -122.4243500948 37.7678727623, -122.4242231282 37.7665475866, -122.4242581134 37.7664057673)",0.06143818169930621,1
7,7,150006116,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",Saturday,2015-01-03 00:00:00,2019-08-24 01:28:00,PARK,"ARREST, BOOKED",OAK ST / MASONIC AV,-122.445717668922,37.77208097723921,"(37.7720809772392, -122.445717668922)",15000611668060,2015,{3BF60E8F-1616-42BF-BD42-0A77B3343B43},True,0,,NO,NO,8852000.0,NO,,,,,2W,0.0,CLASS III,FELL ST,0.0,NO,1,0,2017-10-18,15:54:06.000,JENWONG,0.06,,55,2201.0,0.0,NO,337.496829093065,0.0,NO,,MASONIC AVE,,BIKE ROUTE,OAK ST,,0.0,60759803001.0,"LINESTRING (-122.44590236631 37.772995405981, -122.4457166652 37.772080394446)",both,2000-01-01 00:00:00,Weekend,6576101,0.12437522986222042,DPW,94103,,2006-11-16 00:00:00,,,15TH ST,True,,6576101,STREETS,Mission Dolores,,GUERRERO ST,,14TH ST,,,,,1998-07-01 00:00:00,GUERRERO,,,2006-069,,,False,"LINESTRING (-122.4244116899 37.768006425, -122.4243500948 37.7678727623, -122.4242231282 37.7665475866, -122.4242581134 37.7664057673)",0.03626621813786514,1
8,8,150014175,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",Monday,2015-01-05 00:00:00,2019-08-24 18:36:00,PARK,"ARREST, BOOKED",DIVISADERO ST / TURK ST,-122.43874173736799,37.779659315025796,"(37.7796593150258, -122.438741737368)",15001417568060,2015,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
9,9,150032791,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",Sunday,2015-01-11 00:00:00,2019-08-24 18:09:00,BAYVIEW,"ARREST, BOOKED",CAMBRIDGE ST / SILLIMAN ST,-122.41890230074101,37.7276275013535,"(37.7276275013535, -122.418902300741)",15003279168060,2015,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
